Code,Year,Quarter,Roe,YOYNi,LiabilityTo,YOYEquity,YOYLiability
SZ.000680,2025,2,0.104112,0.085772,0.006696,-0.018168,0.391376
SZ.000681,2025,2,0.012208,-0.137663,0.001493,0.031495,-0.045493
SZ.000682,2025,2,0.057761,0.160319,0.005403,0.132598,0.100878
SZ.000683,2025,2,0.051731,-0.417049,0.00496,0.031043,0.330379
SZ.000685,2025,2,0.040997,0.271767,0.004922,0.04862,0.321977
SZ.000686,2025,2,0.022404,1.70177,0.008012,0.051462,0.224082
SZ.000688,2025,2,0.15989,10.885459,0.005706,0.158066,-0.185282
SZ.000690,2025,2,0.045383,0.526239,0.004278,0.046948,0.008556
SZ.000691,2025,2,0.0,-0.408891,0.00931,-4.371028,0.119984
SZ.000692,2025,2,-1.266109,0.418185,0.009935,1.369129,0.086986
SZ.000695,2025,2,-0.268436,-16.362894,0.008761,-0.352677,0.394284
SZ.001696,2025,2,0.098866,0.709553,0.005557,0.088728,0.195588
SZ.000697,2025,2,-1.44407,0.240668,0.009885,-0.869257,0.193782
SZ.000698,2025,2,0.044198,1.219479,0.007297,0.140377,0.105181
SZ.000700,2025,2,0.079296,-0.179661,0.005089,0.06206,-0.180294
SZ.000701,2025,2,-0.025301,0.62738,0.008061,0.040584,-0.213167
SZ.000702,2025,2,-0.022307,0.251639,0.004739,-0.148126,-0.321734
SZ.000703,2025,2,0.009183,-0.51701,0.007207,-0.026208,0.002714
SZ.000705,2025,2,0.028326,0.245106,0.003192,0.019014,-0.161023
SZ.000707,2025,2,-0.004768,-1.035532,0.004613,-0.044146,0.933126
SZ.000708,2025,2,0.067979,0.030971,0.006013,0.074539,-0.068414
SZ.000709,2025,2,0.010208,0.472382,0.007449,-0.006387,-0.008608
SZ.000710,2025,2,-0.016394,-3.105348,0.00306,-0.122689,-0.255043
SZ.000711,2025,2,-0.102458,-0.200248,0.004676,-0.091376,0.316954
SZ.000712,2025,2,0.050925,139.934801,0.008029,0.028436,-0.024824
SZ.000713,2025,2,-0.014087,-0.054234,0.003712,0.026331,0.076428
SZ.000715,2025,2,0.025235,0.253409,0.00266,0.043088,-0.015797
SZ.000716,2025,2,0.003042,0.005085,0.004133,0.017685,0.007624
SZ.000717,2025,2,0.000669,1.011783,0.005957,-0.086532,0.017972
SZ.000718,2025,2,0.014576,-0.448449,0.002974,-0.015855,-0.162325
SZ.000719,2025,2,0.04642,0.508549,0.003907,0.052708,0.026166
SZ.000720,2025,2,0.00225,1.148345,0.005205,-0.036933,-0.035124
SZ.000721,2025,2,-0.196742,0.085233,0.008164,-0.314193,-0.017387
SZ.000722,2025,2,0.013149,-0.110932,0.000962,0.018514,1.516176
SZ.000723,2025,2,-0.047862,0.082408,0.006555,-0.035755,0.128612
SZ.000725,2025,2,0.024419,0.710693,0.005227,0.016488,0.003244
SZ.000726,2025,2,0.037623,1.114275,0.002776,0.043766,-0.053973
SZ.000727,2025,2,-0.181337,-6.003651,0.007683,-0.19273,0.037775
SZ.000728,2025,2,0.03746,0.40403,0.007857,0.064708,0.21878
SZ.000729,2025,2,0.072695,0.455142,0.003194,0.076587,-0.153779
SZ.000731,2025,2,0.001938,-0.962303,0.001573,-0.019282,-0.42814
SZ.000733,2025,2,0.020988,-0.257753,0.001832,0.057152,-0.019371
SZ.000735,2025,2,-0.001586,-0.998779,0.005399,-0.007583,-0.013877
SZ.000736,2025,2,0.0,-0.415138,0.009023,-5.442746,-0.118528
SZ.000737,2025,2,0.076349,0.058502,0.006682,0.26027,0.197982
SZ.000738,2025,2,0.024897,-0.340389,0.001995,0.029742,-0.085556
SZ.000739,2025,2,0.083473,-0.098574,0.004588,0.065574,-0.201685
SZ.000750,2025,2,0.016678,1.238962,0.006684,0.019634,0.169659
