ts_code,symbol,name,area,industry,market,cnspell,list_date,act_name,act_ent_type,list_status
000680.SZ,000680,山推股份,山东,工程机械,主板,STGF,19970122,山东省人民政府国有资产监督管理委员会,地方国有企业,L
000681.SZ,000681,视觉中国,江苏,互联网,主板,SJZG,19970121,吴玉瑞,民营企业,L
000682.SZ,000682,东方电子,山东,电气设备,主板,DFDZ,19970121,烟台市人民政府国有资产监督管理委员会,地方国有企业,L
000683.SZ,000683,博源化工,内蒙,化工原料,主板,BYHG,19970131,戴连荣,民营企业,L
000685.SZ,000685,中山公用,广东,水务,主板,ZSGY,19970123,中山市人民政府国有资产监督管理委员会,地方国有企业,L
000686.SZ,000686,东北证券,吉林,证券,主板,DBZQ,19970227,无实际控制人,其他,L
000688.SZ,000688,国城矿业,四川,铅锌,主板,GCKY,19970120,吴城,民营企业,L
000690.SZ,000690,宝新能源,广东,火力发电,主板,BXNY,19970128,叶华能,民营企业,L
000691.SZ,000691,*ST亚太,甘肃,化工原料,主板,*STYT,19970228,任晓更,民营企业,L
000692.SZ,000692,惠天热电,辽宁,供气供热,主板,HTRD,19970227,无实际控制人,其他,L
000695.SZ,000695,滨海能源,天津,化工原料,主板,BHNY,19970218,杨雪岗,民营企业,L
001696.SZ,001696,宗申动力,重庆,摩托车,主板,ZSDL,19970306,左宗申,民营企业,L
000697.SZ,000697,ST炼石,陕西,航空,主板,STLS,19970325,四川省政府国有资产监督管理委员会,地方国有企业,L
000698.SZ,000698,ST沈化,辽宁,石油加工,主板,STSH,19970220,国务院国有资产监督管理委员会,中央企业,L
000700.SZ,000700,模塑科技,江苏,汽车配件,主板,MSKJ,19970228,曹明芳,民营企业,L
000701.SZ,000701,厦门信达,福建,商贸代理,主板,XMXD,19970226,厦门市人民政府国有资产监督管理委员会,地方国有企业,L
000702.SZ,000702,正虹科技,湖南,饲料,主板,ZHKJ,19970318,岳阳城陵矶综合保税区管理委员会,地方国有企业,L
000703.SZ,000703,恒逸石化,广西,化纤,主板,HYSH,19970328,邱建林,民营企业,L
000705.SZ,000705,浙江震元,浙江,医药商业,主板,ZJZY,19970410,绍兴市人民政府国有资产监督管理委员会,地方国有企业,L
000707.SZ,000707,双环科技,湖北,化工原料,主板,SHKJ,19970415,湖北省人民政府国有资产监督管理委员会,地方国有企业,L
000708.SZ,000708,中信特钢,湖北,特种钢,主板,ZXTG,19970326,中华人民共和国财政部,中央企业,L
000709.SZ,000709,河钢股份,河北,普钢,主板,HGGF,19970416,河北省人民政府国有资产监督管理委员会,地方国有企业,L
000710.SZ,000710,贝瑞基因,四川,医疗保健,主板,BRJY,19970422,高扬,民营企业,L
000711.SZ,000711,ST京蓝,黑龙江,环境保护,主板,STJL,19970411,马黎阳,民营企业,L
000712.SZ,000712,锦龙股份,广东,证券,主板,JLGF,19970415,杨志茂,民营企业,L
000713.SZ,000713,国投丰乐,安徽,种植业,主板,GTFL,19970422,国务院国有资产监督管理委员会,中央企业,L
000715.SZ,000715,中兴商业,辽宁,百货,主板,ZXSY,19970508,方威,民营企业,L
000716.SZ,000716,黑芝麻,广西,食品,主板,HZM,19970418,广西壮族自治区人民政府国有资产监督管理委员会,地方国有企业,L
000717.SZ,000717,中南股份,广东,普钢,主板,ZNGF,19970508,国务院国有资产监督管理委员会,中央企业,L
000718.SZ,000718,苏宁环球,吉林,区域地产,主板,SNHQ,19970408,张桂平,民营企业,L
000719.SZ,000719,中原传媒,河南,出版业,主板,ZYCM,19970331,河南省人民政府,地方国有企业,L
000720.SZ,000720,新能泰山,山东,电气设备,主板,XNTS,19970509,国务院国有资产监督管理委员会,中央企业,L
000721.SZ,000721,西安饮食,陕西,酒店餐饮,主板,XAYS,19970430,西安曲江新区管理委员会,地方国有企业,L
000722.SZ,000722,湖南发展,湖南,水力发电,主板,HNFZ,19970522,湖南省人民政府国有资产监督管理委员会,地方国有企业,L
000723.SZ,000723,美锦能源,山西,焦炭加工,主板,MJNY,19970515,姚俊良,民营企业,L
000725.SZ,000725,京东方Ａ,北京,元器件,主板,JDFA,20010112,北京市人民政府国有资产监督管理委员会,地方国有企业,L
000726.SZ,000726,鲁泰Ａ,山东,纺织,主板,LTA,20001225,刘子斌,民营企业,L
