date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-03-27,sz.000006,6.7200,7.4400,6.6600,7.4400,6.7600,106387662,770545145.2700,3,7.880600,1,10.059200,-7.580552,1.557541,1.475113,-4.641602,0
2025-03-28,sz.000006,7.5800,8.1600,7.3800,7.7600,7.4400,152611031,1177737815.7400,3,11.304600,1,4.301100,-7.906597,1.624532,1.538559,-4.841241,0
2025-03-31,sz.000006,7.8000,8.2200,7.2600,7.2900,7.7600,126399428,985171960.1000,3,9.363000,1,-6.056700,-7.427718,1.526139,1.445373,-4.548022,0
2025-04-01,sz.000006,7.3900,7.5000,7.2000,7.2300,7.2900,75395797,551379613.4800,3,5.584900,1,-0.823000,-7.366585,1.513578,1.433477,-4.510589,0
2025-04-02,sz.000006,7.2300,7.3300,6.9900,7.0600,7.2300,55702569,396509601.5900,3,4.126200,1,-2.351300,-7.193373,1.477989,1.399771,-4.404531,0
2025-04-03,sz.000006,7.0500,7.1500,6.8800,6.9700,7.0600,39693104,277495320.2700,3,2.940300,1,-1.274800,-7.101673,1.459148,1.381927,-4.348383,0
2025-04-07,sz.000006,6.4800,6.5000,6.2700,6.2700,6.9700,32274500,203606157.8800,3,2.390700,1,-10.043000,-6.388449,1.312605,1.243140,-3.911673,0
2025-04-08,sz.000006,6.0000,6.1400,5.6400,5.7100,6.2700,75999008,438643480.6500,3,5.629600,1,-8.931400,-5.817870,1.195371,1.132110,-3.562305,0
2025-04-09,sz.000006,5.6000,5.9900,5.1500,5.9200,5.7100,68596713,386042321.9100,3,5.081300,1,3.677800,-6.031837,1.239334,1.173746,-3.693318,0
2025-04-10,sz.000006,6.0000,6.2500,5.9200,6.1000,5.9200,52053210,317838404.4400,3,3.855800,1,3.040500,-6.215237,1.277016,1.209434,-3.805615,0
2025-04-11,sz.000006,6.0100,6.3300,5.9600,6.2900,6.1000,45513601,281949333.1300,3,3.371400,1,3.114800,-6.408827,1.316792,1.247105,-3.924150,0
2025-04-14,sz.000006,6.2300,6.4000,6.2300,6.3400,6.2900,35227901,222888392.3200,3,2.609500,1,0.794900,-6.459771,1.327259,1.257019,-3.955344,0
2025-04-15,sz.000006,6.3300,6.5600,6.2000,6.2800,6.3400,33827601,214563937.2800,3,2.505800,1,-0.946400,-6.398638,1.314698,1.245122,-3.917912,0
2025-04-16,sz.000006,6.2300,6.3500,6.0200,6.1700,6.2800,24918155,154350030.2400,3,1.845800,1,-1.751600,-6.286560,1.291670,1.223313,-3.849286,0
2025-04-17,sz.000006,6.1300,6.4200,6.1300,6.2400,6.1700,27525600,173728993.0000,3,2.039000,1,1.134500,-6.357882,1.306325,1.237192,-3.892957,0
2025-04-18,sz.000006,6.2400,6.4600,6.2100,6.4300,6.2400,34530991,218748830.1400,3,2.557900,1,3.044900,-6.551472,1.346100,1.274863,-4.011492,0
2025-04-21,sz.000006,6.3200,6.4500,6.2000,6.3900,6.4300,31510501,199334867.2700,3,2.334100,1,-0.622100,-6.510716,1.337727,1.266932,-3.986537,0
2025-04-22,sz.000006,6.3500,6.5200,6.3500,6.4200,6.3900,28326891,182860561.5300,3,2.098300,1,0.469500,-6.541283,1.344007,1.272880,-4.005254,0
2025-04-23,sz.000006,6.3900,6.4700,6.3400,6.4300,6.4200,24826005,158839060.2500,3,1.839000,1,0.155800,-6.551472,1.346100,1.274863,-4.011492,0
2025-04-24,sz.000006,6.4600,6.4800,6.2800,6.3400,6.4300,22816100,145248211.0000,3,1.690100,1,-1.399700,-6.459771,1.327259,1.257019,-3.955344,0
2025-04-25,sz.000006,6.3100,6.5500,6.2500,6.2500,6.3400,38748597,248623235.5600,3,2.870300,1,-1.419600,-6.368071,1.308418,1.239174,-3.899195,0
2025-04-28,sz.000006,6.3100,6.3600,6.1500,6.1800,6.2500,25433130,158121120.4900,3,1.884000,1,-1.120000,-5.321777,1.551361,1.122831,-11.294869,0
2025-04-29,sz.000006,6.1800,6.4000,6.1400,6.2600,6.1800,20815037,129925635.9700,3,1.541900,1,1.294500,-5.390667,1.571443,1.137366,-11.441081,0
2025-04-30,sz.000006,6.3000,6.4900,6.3000,6.3500,6.2600,23158153,147949920.9000,3,1.715400,1,1.437700,-5.468169,1.594036,1.153718,-11.605570,0
2025-05-06,sz.000006,6.3200,6.4600,6.3200,6.4600,6.3500,23943189,153531506.0300,3,1.773600,1,1.732300,-5.562893,1.621649,1.173704,-11.806611,0
2025-05-07,sz.000006,6.5500,6.6600,6.4900,6.5600,6.4600,31805141,209069576.6100,3,2.356000,1,1.548000,-5.649006,1.646752,1.191872,-11.989376,0
2025-05-08,sz.000006,6.5200,6.8300,6.5200,6.6600,6.5600,36783260,246137579.8500,3,2.724700,1,1.524400,-5.735119,1.671855,1.210041,-12.172141,0
2025-05-09,sz.000006,6.6600,6.7000,6.4000,6.4400,6.6600,25121700,162768215.9300,3,1.860900,1,-3.303300,-5.545670,1.616628,1.170070,-11.770058,0
2025-05-12,sz.000006,6.5000,6.5800,6.4300,6.4700,6.4400,23233600,150982873.0000,3,1.721000,1,0.465800,-5.571504,1.624159,1.175521,-11.824888,0
2025-05-13,sz.000006,6.5200,6.5900,6.4700,6.4900,6.4700,19920107,129825621.3600,3,1.475600,1,0.309100,-5.588727,1.629180,1.179154,-11.861440,0
2025-05-14,sz.000006,6.5800,6.6600,6.4300,6.6000,6.4900,36445298,239173783.2400,3,2.699700,1,1.694900,-5.683451,1.656793,1.199140,-12.062482,0
2025-05-15,sz.000006,6.5900,6.6000,6.4300,6.5200,6.6000,23053800,149792788.0000,3,1.707700,1,-1.212100,-5.614561,1.636711,1.184605,-11.916270,0
2025-05-16,sz.000006,6.5000,6.6800,6.4800,6.5200,6.5200,23045291,151018333.2200,3,1.707100,1,0.000000,-5.614561,1.636711,1.184605,-11.916270,0
2025-05-19,sz.000006,6.7300,7.1700,6.7300,6.9600,6.5200,101633171,714231719.2300,3,7.528500,1,6.748500,-5.993457,1.747164,1.264548,-12.720435,0
2025-05-20,sz.000006,6.8200,7.0200,6.8000,6.9200,6.9600,66069863,455014262.7600,3,4.894100,1,-0.574700,-5.959012,1.737122,1.257280,-12.647329,0
